                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.7091,                 6.4939,                 4.1509,                0.00011,                 0.0011,                0.00012,                  2e-05,                 5.6455,                 5.3962,                 4.0587,                 0.0937,                 0.0007,                 0.0007
                      1,                 5.3264,                 5.6716,                 4.0559,                0.00011,                 0.0011,                 0.0001,                  2e-05,                 5.5668,                 4.8533,                 3.9117,               0.086351,              0.0013515,              0.0013515
                      2,                 5.4376,                 5.3437,                 3.9172,                0.00011,                 0.0011,                  8e-05,                  2e-05,                 5.5261,                 4.7225,                 3.8417,               0.078845,              0.0018446,              0.0018446
                      3,                 5.1082,                 4.8491,                  3.832,                0.00012,                 0.0011,                0.00256,                0.00051,                 5.4552,                 4.5997,                 3.7445,               0.071179,              0.0021793,              0.0021793
                      4,                 5.0411,                 4.5766,                 3.7068,                0.00011,                 0.0011,                  9e-05,                  2e-05,                 5.3656,                 4.4916,                  3.647,               0.063356,              0.0023556,              0.0023556
                      5,                  5.152,                 4.4761,                 3.5763,                0.00011,                 0.0011,                  8e-05,                  2e-05,                 5.2456,                 4.3704,                  3.528,               0.055374,              0.0023735,              0.0023735
                      6,                 4.8573,                 4.3765,                 3.4452,                0.00011,                 0.0011,                0.00017,                  3e-05,                 5.1401,                 4.2861,                  3.426,               0.047233,               0.002233,               0.002233
                      7,                 5.1159,                 5.0863,                 3.3179,                0.00011,                 0.0011,                0.00017,                  3e-05,                 5.0315,                 4.2264,                 3.3395,               0.038934,              0.0019341,              0.0019341
                      8,                 5.0053,                 4.5221,                  3.268,                0.00011,                 0.0011,                0.00017,                  3e-05,                 4.9374,                 4.1856,                 3.2664,               0.030477,              0.0014768,              0.0014768
                      9,                 4.8042,                 4.3024,                 3.1872,                0.00011,                 0.0011,                0.00017,                  3e-05,                 4.8945,                 4.1701,                 3.2275,               0.021861,              0.0008611,              0.0008611
